Voltage (V),Current (A),Capacity (mAh),T1(C),
3.9584,-13.9992,4316.4,36.2,
3.9555,-13.9995,4355.3,36.2,
3.9527,-13.9991,4394.2,36.2,
3.9499,-13.9995,4433.1,36.2,
3.9471,-13.9992,4471.9,36.2,
3.9444,-13.9993,4510.8,36.2,
3.9418,-13.9995,4549.7,36.2,
3.9392,-13.9992,4588.6,36.2,
3.9366,-13.9994,4627.5,36.2,
3.9342,-13.9995,4666.4,36.2,
3.9317,-13.999,4705.3,36.2,
3.9294,-14.0003,4744.1,36.2,
3.9271,-13.9986,4783,36.1,
3.9248,-13.999,4821.9,36.1,
3.9226,-13.9995,4860.8,36.1,
3.9204,-13.999,4899.7,36.1,
3.9182,-13.9992,4938.6,36.1,
3.916,-13.9989,4977.5,36.1,
3.9138,-13.9994,5016.4,36.1,
3.9117,-13.999,5055.2,36.1,
3.9095,-13.999,5094.1,36,
3.9073,-13.9993,5133,36,
3.9051,-13.9986,5171.9,36,
3.9029,-13.9995,5210.8,36,
3.9007,-13.999,5249.7,36,
3.8986,-13.9992,5288.6,36,
3.8964,-13.9992,5327.4,36,
3.8942,-13.9992,5366.3,36,
3.8921,-13.9991,5405.2,36,
3.8899,-13.9993,5444.1,36,
3.8878,-13.999,5483,36,
3.8856,-13.9991,5521.9,36,
3.8836,-13.9986,5560.8,36,
3.8815,-13.9993,5599.6,36.1,
3.8795,-13.9993,5638.5,36.1,
3.8774,-13.9994,5677.4,36.1,
3.8753,-13.9988,5716.3,36,
3.8733,-13.9991,5755.2,36.1,
3.8714,-13.9994,5794.1,36.1,
3.8693,-13.9992,5833,36.1,
3.8674,-13.9994,5871.9,36,
3.8654,-13.9991,5910.7,36,
3.8635,-13.9991,5949.6,36,
3.8616,-13.9997,5988.5,36,
3.8597,-13.9992,6027.4,36,
3.8578,-13.9993,6066.3,36,
3.8559,-13.9991,6105.2,36,
3.854,-13.9991,6144.1,36,
3.8522,-14.0003,6182.9,36,
3.8504,-13.9997,6221.8,36,
3.8486,-13.9984,6260.7,36,
3.8468,-13.9991,6299.6,36,
3.845,-13.9987,6338.5,36,
3.8432,-13.9991,6377.4,36,
3.8414,-13.999,6416.3,36,
3.8397,-13.9989,6455.2,36,
3.8379,-13.9993,6494,36,
3.8362,-13.9985,6532.9,36,
