Time_s,Voltage_V,Current_A,SOC,Temperature_C
32388,4.006368182741999,-18.0,0.577261904761778,62.5856287171317
32389,4.00698018252292,-18.0,0.5776190476189208,62.578876309892536
32390,4.0075788555388385,-18.0,0.5779761904760636,62.57216159306144
32391,4.008164776767248,-18.0,0.5783333333332065,62.56548339227613
32392,4.008738496887982,-18.0,0.5786904761903493,62.55884058317778
32393,4.009300543299235,-18.0,0.5790476190474921,62.552232089294954
32394,4.009851421091308,-18.0,0.579404761904635,62.545656880016
32395,4.010391613979879,-18.0,0.5797619047617778,62.53911396864641
32396,4.010921585200423,-18.0,0.5801190476189206,62.532602410547454
32397,4.011441778365443,-18.0,0.5804761904760635,62.52612130135277
32398,4.011952618286019,-18.0,0.5808333333332063,62.519669775259665
32399,4.01245451175918,-18.0,0.5811904761903491,62.51324700339201
32400,4.012947848322495,-18.0,0.581547619047492,62.50685219223175
32401,4.013433000977265,-18.0,0.5819047619046348,62.500484582116165
32402,4.013910326881602,-18.0,0.5822619047617776,62.49414344579816
32403,4.01438016801465,-18.0,0.5826190476189205,62.487828087066944
32404,4.014842851813161,-18.0,0.5829761904760633,62.48153783942658
32405,4.015298691781539,-18.0,0.5833333333332061,62.47527206483001
32406,4.015747988076486,-18.0,0.583690476190349,62.46903015246624
32407,4.0161910280672934,-18.0,0.5840476190474918,62.46281151759847
32408,4.016628086872785,-18.0,0.5844047619046346,62.456615600451
32409,4.017059427875882,-18.0,0.5847619047617775,62.450441865143
32410,4.017485303216725,-18.0,0.5851190476189203,62.444289798667015
32411,4.017905954265242,-18.0,0.5854761904760631,62.43815890991051
32412,4.0183216120740095,-18.0,0.585833333333206,62.43204872871856
32413,4.018732497812235,-18.0,0.5861904761903488,62.42595880499598
32414,4.019138823181634,-18.0,0.5865476190474916,62.41988870784726
32415,4.019540790814965,-18.0,0.5869047619046345,62.41383802475275
32416,4.01993859465793,-18.0,0.5872619047617773,62.4078063607796
32417,4.020332420335148,-18.0,0.5876190476189201,62.40179333782584
32418,4.020722445500847,-18.0,0.587976190476063,62.3957985938965
32419,4.021108840174919,-18.0,0.5883333333332058,62.38982178241012
32420,4.0214917670649415,-18.0,0.5886904761903486,62.38386257153468
32421,4.021871381874757,-18.0,0.5890476190474915,62.37792064355147
32422,4.0222478336001535,-18.0,0.5894047619046343,62.37199569424589
32423,4.022621264812205,-18.0,0.5897619047617771,62.36608743232398
32424,4.022991811928756,-18.0,0.59011904761892,62.36019557885364
32425,4.023359605474575,-18.0,0.5904761904760628,62.35431986672949
32426,4.023724770330615,-18.0,0.5908333333332056,62.348460040160354
32427,4.024087425972871,-18.0,0.5911904761903485,62.34261585417853
32428,4.024447686701227,-18.0,0.5915476190474913,62.33678707416979
32429,4.024805661858741,-18.0,0.5919047619046341,62.330973475423306
32430,4.025161456041754,-18.0,0.592261904761777,62.325174842700726
32431,4.0255151693011975,-18.0,0.5926190476189198,62.31939096982349
32432,4.025866897335478,-18.0,0.5929761904760626,62.31362165927769
32433,4.026216731675281,-18.0,0.5933333333332055,62.30786672183578
32434,4.02656475986064,-18.0,0.5936904761903483,62.30212597619424
32435,4.026911065610576,-18.0,0.5940476190474911,62.296399248626805
32436,4.02725572898563,-18.0,0.594404761904634,62.29068637265237
32437,4.027598826543595,-18.0,0.5947619047617768,62.28498718871707
32438,4.027940431488688,-18.0,0.5951190476189196,62.27930154388993
32439,4.028280613814498,-18.0,0.5954761904760625,62.27362929157147
32440,4.028619440440906,-18.0,0.5958333333332053,62.267970291214766
32441,4.028956975345278,-18.0,0.5961904761903482,62.26232440805845
32442,4.029293279688139,-18.0,0.596547619047491,62.25669151287109
32443,4.029628411933571,-18.0,0.5969047619046338,62.25107148170653
32444,4.0299624279645485,-18.0,0.5972619047617767,62.24546419566968
32445,4.030295381193437,-18.0,0.5976190476189195,62.23986954069242
32446,4.030627322667832,-18.0,0.5979761904760623,62.234287407319
32447,4.030958301171951,-18.0,0.5983333333332052,62.228717690500766
32448,4.031288363323763,-18.0,0.598690476190348,62.2231602893996
32449,4.031617553668024,-18.0,0.5990476190474908,62.21761510719992
32450,4.0319459147654,-18.0,0.5994047619046337,62.21208205092867
32451,4.032273487277827,-18.0,0.5997619047617765,62.20656103128315
32452,4.032600310050285,-18.0,0.6001190476189193,62.2010519624662
32453,4.032926420189114,-18.0,0.6004761904760622,62.195554762028564
32454,4.033251853137032,-18.0,0.600833333333205,62.19006935071798
32455,4.033576642744985,-18.0,0.6011904761903478,62.18459565233489
32456,4.033900821340965,-18.0,0.6015476190474907,62.179133593594344
32457,4.034224419795924,-18.0,0.6019047619046335,62.173683103993866
32458,4.0345474675868935,-18.0,0.6022619047617763,62.16824411568712
32459,4.03486999285745,-18.0,0.6026190476189192,62.162816563363016
32460,4.035192022475607,-18.0,0.602976190476062,62.157400384130064
32461,4.0355135820892665,-18.0,0.6033333333332048,62.15199551740581
32462,4.035834696179327,-18.0,0.6036904761903477,62.146601904811035
32463,4.036155388110529,-18.0,0.6040476190474905,62.14121949006862
32464,4.036475680180154,-18.0,0.6044047619046333,62.13584821890678
32465,4.036795593664657,-18.0,0.6047619047617762,62.13048803896658
32466,4.037115148864317,-18.0,0.605119047618919,62.12513889971348
32467,4.037434365146002,-18.0,0.6054761904760618,62.119800752352745
32468,4.037753260984098,-18.0,0.6058333333332047,62.1144735497486
32469,4.038071853999721,-18.0,0.6061904761903475,62.10915724634694
32470,4.038390160998243,-18.0,0.6065476190474903,62.10385179810138
32471,4.038708198005231,-18.0,0.6069047619046332,62.09855716240269
32472,4.03902598030085,-18.0,0.607261904761776,62.09327329801122
32473,4.039343522452805,-18.0,0.6076190476189188,62.08800016499239
32474,4.039660838347875,-18.0,0.6079761904760617,62.082737724655054
32475,4.0399779412221,-18.0,0.6083333333332045,62.07748593949251
32476,4.040294843689677,-18.0,0.6086904761903473,62.072244773126265
32477,4.040611557770635,-18.0,0.6090476190474902,62.06701419025215
32478,4.040928094917308,-18.0,0.609404761904633,62.061794156589
32479,4.041244466039681,-18.0,0.6097619047617758,62.0565846388295
32480,4.041560681529662,-18.0,0.6101190476189187,62.0513856045933
32481,4.041876751284291,-18.0,0.6104761904760615,62.04619702238223
32482,4.0421926847279765,-18.0,0.6108333333332043,62.04101886153751
32483,4.042508490833762,-18.0,0.6111904761903472,62.03585109219889
32484,4.042824178143682,-18.0,0.61154761904749,62.03069368526565
