Time_s,Voltage_V,Current_A,Temperature_C
36224,4.033331037750487,-18.0,59.78578026302443
36225,4.033647329339335,-18.0,59.78910192710602
36226,4.033963613676195,-18.0,59.792416961494524
36227,4.0342798915605576,-18.0,59.79572538197243
36228,4.0345961637452525,-18.0,59.799027204316445
36229,4.0349124309390865,-18.0,59.80232244429361
36230,4.035228693809343,-18.0,59.80561111765766
36231,4.035544952984186,-18.0,59.80889324014562
36232,4.035861209054926,-18.0,59.81216882747454
36233,4.036177462578204,-18.0,59.815437895338476
36234,4.036493714078054,-18.0,59.818700459405676
36235,4.03680996404788,-18.0,59.82195653531588
36236,4.03712621295233,-18.0,59.8252061386778
36237,4.037442461229093,-18.0,59.828449285066846
36238,4.037758709290592,-18.0,59.83168599002288
36239,4.0380749575256125,-18.0,59.83491626904819
36240,4.038391206300849,-18.0,59.8381401376056
36241,4.0387074559623635,-18.0,59.84135761111666
36242,4.0390237068369945,-18.0,59.84456870496005
36243,4.039339959233678,-18.0,59.84777343446997
36244,4.039656213444717,-18.0,59.85097181493484
36245,4.0399724697469805,-18.0,59.85416386159586
36246,4.040288728403046,-18.0,59.8573495896459
36247,4.0406049896622855,-18.0,59.860529014228334
36248,4.040921253761898,-18.0,59.86370215043604
36249,4.041237520927887,-18.0,59.866869013310456
36250,4.04155379137599,-18.0,59.87002961784072
36251,4.041870065312561,-18.0,59.87318397896293
36252,4.042186342935415,-18.0,59.8763321115594
36253,4.042502624434607,-18.0,59.879474030458084
36254,4.042818909993201,-18.0,59.88260975043196
36255,4.043135199787973,-18.0,59.88573928619857
36256,4.043451493990093,-18.0,59.888862652419554
36257,4.043767792765765,-18.0,59.891979863700286
36258,4.044084096276827,-18.0,59.89509093458952
36259,4.044400404681335,-18.0,59.89819587957914
36260,4.044716718134098,-18.0,59.90129471310392
36261,4.045033036787195,-18.0,59.90438744954133
36262,4.045349360790455,-18.0,59.90747410321138
36263,4.045665690291925,-18.0,59.91055468837653
36264,4.045982025438286,-18.0,59.913629219241635
36265,4.046298366375277,-18.0,59.916697709953894
36266,4.046614713248072,-18.0,59.91976017460285
36267,4.046931066201637,-18.0,59.922816627220435
36268,4.04724742538108,-18.0,59.92586708178105
36269,4.047563790931971,-18.0,59.928911552201605
36270,4.047880163000631,-18.0,59.93195005234168
36271,4.048196541734431,-18.0,59.934982596003664
36272,4.048512927282052,-18.0,59.93800919693288
36273,4.048829319793725,-18.0,59.94102986881782
36274,4.049145719421479,-18.0,59.94404462529032
36275,4.049462126319351,-18.0,59.94705347992578
36276,4.049778540643586,-18.0,59.95005644624342
36277,4.050094962552839,-18.0,59.953053537706545
36278,4.050411392208342,-18.0,59.95604476772277
36279,4.050727829774072,-18.0,59.95903014964438
36280,4.051044275416905,-18.0,59.96200969676854
36281,4.051360729306761,-18.0,59.96498342233769
36282,4.051677191616727,-18.0,59.9679513395398
36283,4.051993662523191,-18.0,59.97091346150874
36284,4.0523101422059415,-18.0,59.97386980132459
36285,4.052626630848281,-18.0,59.97682037201402
36286,4.052943128637112,-18.0,59.97976518655061
36287,4.05325963576303,-18.0,59.982704257855254
36288,4.0535761524204,-18.0,59.98563759879649
36289,4.053892678807427,-18.0,59.988565222190886
36290,4.054209215126219,-18.0,59.99148714080342
36291,4.054525761582851,-18.0,59.99440336734788
36292,4.054842318387408,-18.0,59.9973139144872
36293,4.0551588857540395,-18.0,60.00021879483392
36294,4.0554754639009944,-18.0,60.00311802095052
36295,4.055792053050659,-18.0,60.00601160534982
36296,4.056108653429583,-18.0,60.00889956049543
36297,4.056425265268513,-18.0,60.01178189880209
36298,4.056741888802401,-18.0,60.014658632636085
36299,4.0570585242704365,-18.0,60.017529774315655
36300,4.057375171916047,-18.0,60.02039533611138
36301,4.057691831986912,-18.0,60.02325533024659
36302,4.058008504734973,-18.0,60.02610976889777
36303,4.0583251904164275,-18.0,60.02895866419493
36304,4.058641889291733,-18.0,60.031802028222046
36305,4.0589586016256085,-18.0,60.03463987301742
36306,4.059275327687019,-18.0,60.037472210574094
36307,4.059592067749172,-18.0,60.04029905284024
36308,4.059908822089506,-18.0,60.043120411719556
36309,4.060225590989679,-18.0,60.04593629907164
36310,4.060542374735549,-18.0,60.0487467267124
36311,4.06085917361716,-18.0,60.05155170641442
36312,4.061175987928723,-18.0,60.05435124990736
36313,4.061492817968593,-18.0,60.05714536887833
36314,4.061809664039249,-18.0,60.05993407497227
36315,4.062126526447268,-18.0,60.06271737979231
36316,4.062443405503304,-18.0,60.065495294900174
36317,4.062760301522058,-18.0,60.06826783181651
36318,4.063077214822251,-18.0,60.071035002021304
36319,4.063394145726599,-18.0,60.07379681695418
36320,4.0637110945617785,-18.0,60.07655328801482
36321,4.0640280616584,-18.0,60.07930442656329
36322,4.064345047350974,-18.0,60.082050243920385
36323,4.064662051977884,-18.0,60.08479075136801
36324,4.064979075881351,-18.0,60.08752596014949
36325,4.065296119407398,-18.0,60.090255881469936
36326,4.065613182905821,-18.0,60.092980526496575
36327,4.065930266730154,-18.0,60.09569990635908
36328,4.066247371237633,-18.0,60.09841403214991
36329,4.066564496789163,-18.0,60.101122914924645
36330,4.066881643749282,-18.0,60.10382656570228
36331,4.067198812486125,-18.0,60.10652499546557
36332,4.067516003371393,-18.0,60.10921821516135
36333,4.067833216780311,-18.0,60.111906235700815
